Afganistán: Kabul.
Albania: Tirana.
Alemania: Berlín.
Andorra: Andorra_la_Vieja.
Angola: Luanda.
Antigua_y_Barbuda: Saint_John.
Arabia_Saudita: Riad.
Argelia: Argel.
Argentina: Buenos_Aires.
Armenia: Ereván.
Australia: Camberra.
Austria: Viena.
Azerbaiyán: Bakú.
Bahamas: Nassau.
Bangladés: Daca.
Barbados: Bridgetown.
Baréin: Manama.
Bélgica: Bruselas.
Belice: Belmopán.
Benín: Porto_Novo_y_Cotonú.
Bielorrusia: Minsk.
Birmania: Naipyidó.
Bolivia: Sucre.
Bosnia_y_Herzegovina: Sarajevo.
Botsuana: Gaborone.
Brasil: Brasilia.
Brunéi: Bandar_Seri_Begawan.
Bulgaria: Sofía.
Burkina_Faso: Uagadugú.
Burundi: Gitega.
Bután: Timbu.
Cabo_Verde:Praia
Camboya: Nom Pen.
Camerún: Yaundé.
Canadá: Ottawa.
Catar: Doha.
Chad: Yamena.
Chile: Santiago_de_Chile.
China: Pekín.
Chipre: Nicosia.
Ciudad_del_Vaticano: Ciudad_del_Vaticano.
Colombia: Bogotá.
Comoras: Moroni.
Corea_del_Norte: Pionyang.
Corea_del_Sur: Seúl.
Costa_de_Marfil: Yamusukro.
Costa_Rica: San_José.
Croacia: Zagreb.
Cuba: La_Habana.
Dinamarca: Copenhague.
Dominica: Roseau.
Ecuador: Quito.
Egipto: El_Cairo.
El_Salvador: San_Salvador.
Emiratos_Árabes_Unidos: Abu_Dabi.
Eritrea: Asmara.
Eslovaquia: Bratislava.
Eslovenia: Liubliana.
España: Madrid.
Estados_Unidos: Washington_D.C.
Estonia: Tallin.
Etiopía: Adís_Abeba.
Filipinas: Manila.
Finlandia: Helsinki.
Fiyi: Suva.
Francia: París.
Gabón: Libreville.
Gambia: Banjul.
Georgia: Tiflis.
Ghana: Acra.
Granada: Saint George.
Grecia: Atenas.
Guatemala: Ciudad_de_Guatemala.
Guyana: Georgetown.
Guinea: Conakri.
Guinea-Bisáu: Bisáu.
Guinea_Ecuatorial: Malabo.
Haití: Puerto_Príncipe.
Honduras: Tegucigalpa.
Hungría: Budapest.
India: Nueva_Delhi.
Indonesia: Yakarta.
Irak: Bagdad.
Irán: Teherán.
Irlanda: Dublín.
Islandia: Reikiavik.
Islas_Marshall: Majuro.
Islas_Salomón: Honiara.
Israel: Jerusalén.
Italia: Roma.
Jamaica: Kingston.
Japón: Tokio.
Jordania: Amán.
Kazajistán: Astaná.
Kenia: Nairobi.
Kirguistán: Biskek.
Kiribati: Tarawa.
Kuwait: Kuwait.
Laos: Vientián.
Lesoto: Maseru.
Letonia: Riga.
Líbano: Beirut.
Liberia: Monrovia.
Libia: Trípoli.
Liechtenstein: Vaduz.
Lituania: Vilna.
Luxemburgo: Luxemburgo.
Macedonia_del_Norte: Skopie.
Madagascar: Antananarivo.
Malasia: Kuala_Lumpur.
Malaui: Lilongüe.
Maldivas: Malé.
Malí: Bamako.
Malta: La Valeta.
Marruecos: Rabat.
Mauricio: Port-Louis.
Mauritania: Nuakchot.
México: Ciudad_de_México.
Micronesia: Palikir.
Moldavia: Chisináu.
Mónaco: Mónaco.
Mongolia: Ulán_Bator.
Montenegro: Podgorica.
Mozambique: Maputo.
Namibia: Windhoek.
Nauru: Yaren.
Nepal: Katmandú.
Nicaragua: Managua.
Níger: Niamey.
Nigeria: Abuya.
Noruega: Oslo.
Nueva Zelanda: Wellington.
Omán: Mascate.
Países_Bajos: Ámsterdam.
Pakistán: Islamabad.
Palaos: Melekeok.
Panamá: Panamá.
Papúa_Nueva_Guinea: Port_Moresby.
Paraguay: Asunción.
Perú: Lima.
Polonia: Varsovia.
Portugal: Lisboa.
Reino_Unido_de_Gran_Bretaña_e_Irlanda_del_Norte: Londres.
República_Centroafricana: Bangui.
República_Checa: Praga.
República_del_Congo: Brazzaville.
República_Democrática_del_Congo: Kinsasa.
República_Dominicana: Santo_Domingo.
República_Sudafricana: Bloemfontein,_Ciudad_Del_Cabo_y_Pretoria.
Ruanda: Kigali.
Rumanía: Bucarest.
Rusia: Moscú.
Samoa: Apia.
San_Cristóbal_y_Nieves: Basseterre.
San_Marino: San_Marino.
San_Vicente_y_las_Granadinas: Kingstown.
Santa_Lucía: Castries.
Santo_Tomé_y_Príncipe: Santo_Tomé.
Senegal: Dakar.
Serbia: Belgrado.
Seychelles: Victoria.
Sierra_Leona: Freetown.
Singapur: Singapur.
Siria: Damasco.
Somalia: Mogadiscio.
Sri_Lanka: Sri_Jayewardenepura-Colombo.
Suazilandia: Babane_y_Lobamba.
Sudán: Jartum.
Sudán_del_Sur: Yuba.
Suecia: Estocolmo.
Suiza: Berna.
Surinam: Paramaribo.
Tailandia: Bangkok.
Tanzania: Dodoma.
Tayikistán: Dusambé.
Timor Oriental: Dili.
Togo: Lomé.
Tonga: Nukualofa.
Trinidad_y_Tobago: Puerto_España.
Túnez: Túnez.
Turkmenistán: Asjabad.
Turquía: Ankara.
Tuvalu: Fongafale.
Ucrania: Kiev.
Uganda: Kampala.
Uruguay: Montevideo.
Uzbekistán: Taskent.
Vanuatu: Port_Vila.
Venezuela: Caracas.
Vietnam: Hanói.
Yemen: Saná.
Yibuti: Yibuti.
Zambia: Lusaka.
Zimbabue: Harare.
